Time_hours,DO_observed,DO_simulated,Residuals
1758,9.59033333333333,8.2217031708983,-1.36863016243503
1759,9.53458333333333,8.21706713197774,-1.31751620135559
1760,9.54941666666667,8.21322469980218,-1.33619196686449
1761,9.61375,8.20984062328809,-1.40390937671191
1762,9.68383333333333,8.20636541549485,-1.47746791783848
1763,9.75416666666667,8.20281230272557,-1.5513543639411
1764,9.81975,8.19919562136616,-1.62055437863384
1765,9.82641666666667,8.19552856422903,-1.63088810243764
1766,9.79833333333333,8.19182318055305,-1.60651015278028
1767,9.8205,8.18809037600358,-1.63240962399642
1768,9.88625,8.18433991267245,-1.70191008732755
1769,9.92466666666667,8.18058040907798,-1.74408625758869
1770,9.9765,8.17681934016494,-1.79968065983506
1771,10.1255833333333,8.17306303730462,-1.95252029602868
1772,10.3279166666667,8.16931668829476,-2.15859997837194
1773,10.4435,8.16558433735958,-2.27791566264042
1774,10.6864166666667,8.16186888514979,-2.52454778151691
1775,10.8026666666667,8.15817208874256,-2.64449457792414
1776,10.6665,8.15449456164157,-2.51200543835843
1777,10.5369166666667,8.15083577377695,-2.38608089288975
1778,10.3295833333333,8.14719405150531,-2.18238928182799
1779,9.97725,8.14356657760976,-1.83368342239024
1780,9.70666666666667,8.13994939129986,-1.56671727536681
1781,9.42841666666667,8.13633738821166,-1.29207927845501
1782,9.24516666666667,8.13272432040771,-1.11244234625896
1783,9.19116666666667,8.12910279637701,-1.06206387028966
1784,9.222,8.12546428103504,-1.09653571896496
1785,9.27458333333333,8.12179909572377,-1.15278423760956
1786,9.34941666666667,8.11809641821165,-1.23132024845502
1787,9.43483333333334,8.1143442826936,-1.32048905063974
1788,9.50291666666667,8.11052957979102,-1.39238708687565
1789,9.55266666666667,8.10663805655179,-1.44602861011488
1790,9.56966666666667,8.10265431645026,-1.46701235021641
1791,9.60075,8.09856181938728,-1.50218818061272
1792,9.72825,8.09434288169015,-1.63390711830985
1793,9.93216666666667,8.08997756195585,-1.84218910471082
1794,10.16725,8.08508000032834,-2.08216999967165
1795,10.5219166666667,8.0794867220079,-2.4424299446588
1796,10.899,8.07338331904154,-2.82561668095845
1797,11.2096666666667,8.06693950392807,-3.14272716273863
1798,11.3808333333333,8.06030910961801,-3.32052422371529
1799,11.3903333333333,8.05363008951363,-3.33670324381967
1800,11.2275833333333,8.04702451746896,-3.18055881586434
1801,10.8388333333333,8.04059858778973,-2.79823474554357
1802,10.3591666666667,8.03444261523348,-2.32472405143322
1803,9.87258333333333,8.02863103500943,-1.8439522983239
1804,9.51958333333333,8.02322240277859,-1.49636093055474
1805,9.25975,8.01825939465368,-1.24149060534632
