Time_hours,DO_observed,DO_simulated,Residuals
0,8.41272727272727,8.41272727272727,0
1,8.50116666666667,8.28224474253165,-0.218921924135016
2,8.47166666666667,8.1582691858565,-0.313397480810174
3,8.44191666666667,8.04382786780081,-0.39808879886586
4,8.33975,7.93894409163079,-0.400805908369207
5,8.23633333333333,7.84362038780415,-0.392712945529185
6,8.13991666666667,7.75783851397006,-0.382078152696606
7,8.122,7.68579107650357,-0.436208923496434
8,8.10583333333333,7.6263664983802,-0.479466834953131
9,8.09366666666667,7.57328359737636,-0.520383069290314
10,8.05358333333333,7.52253974437881,-0.531043588954516
11,8.00283333333333,7.47241086338474,-0.530422469948593
12,7.991,7.42345143150166,-0.567548568498337
13,8.01258333333333,7.37849447894752,-0.634088854385812
14,8.06516666666667,7.34265158905061,-0.722515077616062
15,8.15458333333333,7.32331289824962,-0.831270435083707
16,8.26366666666667,7.33014709609363,-0.933519570573035
17,8.27583333333333,7.37510142524209,-0.900731908091236
18,8.338,7.47240168146484,-0.865598318535164
19,8.37933333333334,7.63187587806818,-0.747457455265163
20,8.45775,7.7804268941104,-0.677323105889602
21,8.53125,7.893448612054,-0.637801387945996
22,8.59616666666667,7.97190408019994,-0.624262586466727
23,8.64016666666667,8.01751228638028,-0.622654380286388
24,8.7,8.0327481579582,-0.6672518420418
25,8.79466666666667,8.020842561828,-0.773824104838674
26,8.83208333333333,7.98578230441509,-0.846301028918242
27,8.82566666666667,7.93231013167601,-0.89335653499066
28,8.78141666666667,7.86592472909841,-0.915491937568258
29,8.68025,7.79288072170106,-0.887369278298939
30,8.55425,7.72018867403384,-0.834061325966162
31,8.48383333333333,7.65561509017775,-0.828218243155582
32,8.41575,7.60429720827891,-0.811452791721086
33,8.38116666666667,7.55927878938386,-0.821887877282809
34,8.36425,7.51831684179293,-0.845933158207072
35,8.34516666666667,7.48035723716233,-0.864809429504338
36,8.322,7.44492500702771,-0.877074992972284
37,8.27391666666667,7.41212434280416,-0.861792323862512
38,8.16441666666667,7.38263859578617,-0.781778070880504
39,8.04966666666667,7.35773027714768,-0.691936389518994
40,7.97516666666667,7.33924105794206,-0.635925608724612
41,7.79525,7.32959176910211,-0.465658230897891
42,7.64683333333333,7.33169152230191,-0.315141811031417
43,7.65566666666667,7.34176406967593,-0.313902596990743
44,7.69925,7.35216931863461,-0.347080681365389
45,7.71208333333333,7.35839866745957,-0.353684665873758
46,7.72016666666667,7.35752179132998,-0.36264487533669
47,7.65908333333333,7.34818664232257,-0.310896691010755
48,7.61066666666667,7.33061944941165,-0.280047217255015
49,7.60633333333333,7.30662471846909,-0.29970861486424
