Time_hours,DO_observed,DO_simulated,Residuals
0,8.41272727272727,8.41272727272727,0
1,8.50116666666667,8.16853760435701,-0.332629062309657
2,8.47166666666667,7.90816169924116,-0.563504967425509
3,8.44191666666667,7.65608539442463,-0.785831272242044
4,8.33975,7.41204448247167,-0.927705517528333
5,8.23633333333333,7.17578270419142,-1.06055062914191
6,8.13991666666667,6.94705174863789,-1.19286491802878
7,8.122,6.72554053136389,-1.39645946863611
8,8.10583333333333,6.51097334613674,-1.59485998719659
9,8.09366666666667,6.30316271443825,-1.79050395222842
10,8.05358333333333,6.10192356298002,-1.95165977035331
11,8.00283333333333,5.90707322370345,-2.09576010962988
12,7.991,5.71843143377976,-2.27256856622024
13,8.01258333333333,5.53582033560995,-2.47676299772338
14,8.06516666666667,5.35906447682484,-2.70610218984183
15,8.15458333333333,5.18799081028506,-2.96659252304827
16,8.26366666666667,5.02242869408103,-3.24123797258564
17,8.27583333333333,4.86220989153296,-3.41362344180037
18,8.338,4.70716857119089,-3.63083142880911
19,8.37933333333334,4.55714130683466,-3.82219202649868
20,8.45775,4.41196707747389,-4.04578292252611
21,8.53125,4.27148726734803,-4.25976273265197
22,8.59616666666667,4.13554566592631,-4.46062100074036
23,8.64016666666667,4.00398846790778,-4.63617819875889
24,8.7,3.8766642732213,-4.8233357267787
25,8.79466666666667,3.7534240870255,-5.04124257964117
26,8.83208333333333,3.63412131970886,-5.19796201362447
27,8.82566666666667,3.51861178688961,-5.30705487977706
28,8.78141666666667,3.40675370941583,-5.37466295725084
29,8.68025,3.29840771336539,-5.38184228663461
30,8.55425,3.19343683004593,-5.36081316995407
31,8.48383333333333,3.09170649599495,-5.39212683733838
32,8.41575,2.99312875883335,-5.42262124116665
33,8.38116666666667,2.89764709742234,-5.48351956924433
34,8.36425,2.80517676842665,-5.55907323157335
35,8.34516666666667,2.71563418763703,-5.62953247902964
36,8.322,2.62893692997017,-5.69306307002983
37,8.27391666666667,2.5450037294688,-5.72891293719787
38,8.16441666666667,2.4637544793016,-5.70066218736507
39,8.04966666666667,2.38511023176327,-5.6645564349034
40,7.97516666666667,2.30899319827448,-5.66617346839219
41,7.79525,2.23532674938189,-5.55992325061811
42,7.64683333333333,2.16403541475817,-5.48279791857516
43,7.65566666666667,2.09504488320194,-5.56062178346473
44,7.69925,2.02828200263785,-5.67096799736215
45,7.71208333333333,1.96367478011652,-5.74840855321681
46,7.72016666666667,1.90115238181457,-5.8190142848521
47,7.65908333333333,1.84064513303458,-5.81843820029875
48,7.61066666666667,1.78208451820515,-5.82858214846152
49,7.60633333333333,1.72540318088087,-5.88093015245246
50,7.63258333333333,1.6705349237423,-5.96204840959103
51,7.60941666666667,1.61741470859599,-5.99200195807068
52,7.60166666666667,1.56597865637451,-6.03568801029216
53,7.62258333333333,1.51616404713638,-6.10641928619695
54,7.67791666666667,1.46790932006613,-6.21000734660054
55,7.72525,1.42115407347428,-6.30409592652572
56,7.75216666666667,1.37584778858522,-6.37631887808145
57,7.73691666666667,1.33196224915073,-6.40495441751594
58,7.65416666666667,1.28945934892832,-6.36470731773835
59,7.56358333333333,1.24830086460052,-6.31528246873281
60,7.52325,1.20844909937567,-6.31480090062433
61,7.46725,1.16986688298781,-6.29738311701219
62,7.507,1.13251757169677,-6.37448242830323
63,7.50625,1.0963650482881,-6.4098849517119
64,7.55583333333333,1.06137372207314,-6.49445961126019
65,7.65141666666667,1.02750852888896,-6.62390813777771
66,7.78758333333333,0.994734931098377,-6.79284840223495
67,7.93508333333333,0.963018917589978,-6.97206441574335
68,8.06291666666667,0.932327003778092,-7.13058966288858
69,8.177,0.902626231602803,-7.2743737683972
70,8.21266666666667,0.87388416952995,-7.33878249713672
71,8.234,0.846068912551121,-7.38793108744888
72,8.30041666666667,0.819149082183661,-7.48126758448301
73,8.35375,0.793093826470662,-7.56065617352934
74,8.32833333333333,0.767872819980975,-7.56046051335235
75,8.27108333333333,0.743456263809199,-7.52762706952413
76,8.20325,0.719814885575687,-7.48343511442431
77,8.10725,0.696919939426547,-7.41033006057345
78,8.052,0.674743206033635,-7.37725679396636
79,8.0285,0.653256992594565,-7.37524300740543
80,7.95866666666667,0.632435681115302,-7.32623098555137
81,7.89233333333333,0.612265516019785,-7.28006781731354
82,7.79283333333333,0.592730096940732,-7.2001032363926
83,7.69008333333333,0.573811943631829,-7.1162713897015
84,7.58108333333333,0.555493815767512,-7.02558951756582
85,7.42583333333333,0.53775871294297,-6.88807462039036
86,7.41091666666667,0.520589874674136,-6.89032679199253
87,7.46033333333333,0.503970780397699,-6.95636255293563
88,7.49891666666667,0.487885149471092,-7.01103151719558
89,7.52916666666667,0.472316941172502,-7.05684972549417
90,7.57558333333333,0.457250354700864,-7.11833297863247
91,7.67533333333333,0.442669829175862,-7.23266350415747
92,7.9085,0.428560043637932,-7.47993995636207
93,8.07375,0.414905917048257,-7.65884408295174
94,8.083,0.401692608288772,-7.68130739171123
95,8.07841666666667,0.38890551616216,-7.68951115050451
96,8.07333333333333,0.376530279391855,-7.69680305394148
97,7.79891666666667,0.36455277662204,-7.43436389004463
98,7.41825,0.352959126417649,-7.06529087358235
99,7.27266666666667,0.341735687264364,-6.93093097940231
100,7.28966666666667,0.330869057568617,-6.95879760909805
101,7.28933333333333,0.320346075657591,-6.96898725767574
102,7.2675,0.310153819779218,-6.95734618022078
103,7.25641666666667,0.300279608102179,-6.95613705856449
104,7.20791666666667,0.29071125777494,-6.91720540889173
105,7.11933333333333,0.281444705187546,-6.83788862814578
