Date,Hour,AvgDissolvedOxygenInput,AvgWaterTemperatureInput,AvgDOPercentSaturationInput,AvgDissolvedOxygenOutput,AvgWaterTemperatureOutput,AvgDOPercentSaturationOutput,OxygenInOutDiff,DateHour,DODiffIn,DODiffOut,AvgWaterSurfaceElevationInput,AvgWaterSurfaceElevationOutput,mean_GlobalSolarRadiationCampodarsego,mean_GlobalSolarRadiationLegnaro,mean_Max_AirRel_Humidity,mean_Min_AirRel_Humidity,mean_Tair_mean,sum_Precipitation,WeatherRegime,aggPrecipitation
26-Jan-2023,17,8.60208333333333,8.52816666666667,73.5744855,9.03783333333333,8.39616666666667,77.0545965,-0.435750000000001,26-Jan-2023 17:00:00,-0.0305000000000017,-0.0944166666666675,11.679875,8.81415,68,63,54,48,6.3,0,Dry,0
26-Jan-2023,18,8.60625,8.50608333333333,73.5707626666667,8.87416666666667,8.35333333333333,75.5808781666667,-0.267916666666665,26-Jan-2023 18:00:00,0.00416666666666821,-0.163666666666668,11.6771666666667,8.81725,0,0,60,57,5.2,0,Dry,0
26-Jan-2023,19,8.62341666666667,8.507,73.7191651666667,8.74766666666667,8.27975,74.3700930833333,-0.12425,26-Jan-2023 19:00:00,0.0171666666666646,-0.1265,11.6737833333333,8.81383333333333,0,0,61,59,4.7,0,Dry,0
26-Jan-2023,20,8.63533333333333,8.52041666666667,73.84500275,8.64825,8.2335,73.4422978333333,-0.0129166666666656,26-Jan-2023 20:00:00,0.0119166666666679,-0.0994166666666665,11.6709666666667,8.81341666666667,0,0,59,57,4.8,0,Dry,0
26-Jan-2023,21,8.63633333333333,8.51408333333333,73.8422399166667,8.49258333333333,8.19916666666667,72.0601598333333,0.143749999999999,26-Jan-2023 21:00:00,0.000999999999999446,-0.155666666666665,11.670225,8.80675,0,0,59,55,4.5,0,Dry,0
26-Jan-2023,22,8.62833333333333,8.51241666666667,73.7708750833333,8.34366666666667,8.14808333333333,70.7083490833333,0.284666666666668,26-Jan-2023 22:00:00,-0.00799999999999912,-0.148916666666668,11.6705583333333,8.80558333333333,0,0,58,58,3.9,0,Dry,0
26-Jan-2023,23,8.61691666666667,8.49983333333333,73.6507965,8.36225,8.1,70.78276725,0.254666666666667,26-Jan-2023 23:00:00,-0.0114166666666673,0.0185833333333338,11.6708666666667,8.80683333333333,0,0,58,54,3.6,0,Dry,0
27-Jan-2023,0,8.632,8.486,73.7549951666667,8.357,8.05466666666666,70.660083,0.274999999999999,27-Jan-2023 00:00:00,0.0150833333333331,-0.00524999999999842,11.6726083333333,8.80965833333333,0,0,56,54,3.5,0,Dry,0
27-Jan-2023,1,8.6075,8.4765,73.5287678333333,8.37991666666667,8.01458333333333,70.7845156666667,0.227583333333333,27-Jan-2023 01:00:00,-0.0244999999999997,0.0229166666666654,11.6739916666667,8.81149166666667,0,0,55,54,3.1,0,Dry,0
27-Jan-2023,2,8.566,8.48666666666667,73.1922773333333,8.41625,7.99575,71.0587084166667,0.149750000000003,27-Jan-2023 02:00:00,-0.0414999999999992,0.0363333333333316,11.67545,8.811425,0,0,59,56,2.5,0,Dry,0
27-Jan-2023,3,8.535,8.46483333333333,72.8888240833333,8.44033333333333,7.96175,71.2028214166667,0.0946666666666669,27-Jan-2023 03:00:00,-0.0310000000000006,0.0240833333333352,11.6766916666667,8.80965,0,0,61,59,2.1,0,Dry,0
27-Jan-2023,4,8.49758333333333,8.46016666666667,72.5610874166667,8.443,7.93283333333333,71.17498075,0.0545833333333334,27-Jan-2023 04:00:00,-0.0374166666666671,0.00266666666666637,11.6766,8.80431666666667,0,0,62,60,1.9,0,Dry,0
27-Jan-2023,5,8.44133333333333,8.44133333333333,72.0478625,8.44641666666667,7.92258333333333,71.1859156666667,-0.00508333333333333,27-Jan-2023 05:00:00,-0.0562500000000004,0.0034166666666664,11.676325,8.80465,0,0,62,61,1.9,0,Dry,0
27-Jan-2023,6,8.39675,8.40383333333333,71.6021966666667,8.42641666666667,7.89575,70.9707120833333,-0.0296666666666674,27-Jan-2023 06:00:00,-0.0445833333333336,-0.0199999999999996,11.6764583333333,8.80208333333333,0,0,65,62,2,0,Dry,0
27-Jan-2023,7,8.3745,8.37083333333333,71.355255,8.437,7.87908333333333,71.03083625,-0.0625,27-Jan-2023 07:00:00,-0.0222499999999997,0.0105833333333329,11.67665,8.80558333333333,0,0,67,65,1.8,0,Dry,0
27-Jan-2023,8,8.38575,8.3615,71.4349269166667,8.44366666666667,7.89641666666667,71.1171724166667,-0.0579166666666673,27-Jan-2023 08:00:00,0.0112500000000004,0.00666666666666771,11.6761583333333,8.805,4,2,65,64,1.7,0,Dry,0
27-Jan-2023,9,8.41733333333333,8.35675,71.6957201666667,8.47283333333333,7.90441666666667,71.376806,-0.0555000000000021,27-Jan-2023 09:00:00,0.031583333333332,0.0291666666666668,11.675325,8.807,94,101,63,54,2.6,0,Dry,0
27-Jan-2023,10,8.46966666666667,8.38116666666667,72.184273,8.44816666666667,7.9185,71.1935733333333,0.0214999999999996,27-Jan-2023 10:00:00,0.0523333333333351,-0.0246666666666666,11.674,8.808925,261,248,51,48,4.3,0,Dry,0
27-Jan-2023,11,8.51508333333333,8.44366666666667,72.6814994166667,8.50058333333333,7.9705,71.7265308333333,0.0145000000000017,27-Jan-2023 11:00:00,0.045416666666668,0.0524166666666659,11.6728666666667,8.80958333333333,359,371,47,44,5.1,0,Dry,0
27-Jan-2023,12,8.59233333333333,8.50075,73.4423886666667,8.59491666666667,8.04041666666667,72.6465584166667,-0.00258333333333383,27-Jan-2023 12:00:00,0.0772499999999994,0.0943333333333349,11.67255,8.80966666666667,455,451,44,41,5.8,0,Dry,0
27-Jan-2023,13,8.63608333333333,8.55783333333333,73.9183506666667,8.68325,8.08833333333333,73.4791,-0.0471666666666657,27-Jan-2023 13:00:00,0.0437499999999993,0.0883333333333312,11.6747,8.80865,462,466,41,37,6.4,0,Dry,0
27-Jan-2023,14,8.68525,8.53758333333333,74.302751,8.80541666666667,8.16225,74.6474961666667,-0.120166666666664,27-Jan-2023 14:00:00,0.0491666666666681,0.122166666666667,11.6790833333333,8.8039,455,431,37,36,6.4,0,Dry,0
27-Jan-2023,15,8.70558333333333,8.5045,74.4170433333333,8.93408333333333,8.23908333333333,75.8799430833333,-0.2285,27-Jan-2023 15:00:00,0.0203333333333315,0.128666666666668,11.683425,8.8078,384,329,39,37,6.7,0,Dry,0
